contig window number,position in contig,number of reads starting in window,%GC content
NZ_LLJK01000015.1-1056,105600-105700,46,0.332843713278496
NZ_LLJK01000015.1-1057,105700-105800,52,0.3219953130231
NZ_LLJK01000015.1-1058,105800-105900,69,0.3225581270472
NZ_LLJK01000015.1-1059,105900-106000,99,0.354951512311186
NZ_LLJK01000015.1-1060,106000-106100,72,0.385856754306437
NZ_LLJK01000015.1-1061,106100-106200,64,0.408500710083181
NZ_LLJK01000015.1-1062,106200-106300,48,0.399413329695068
NZ_LLJK01000015.1-1063,106300-106400,94,0.372210917139695
NZ_LLJK01000015.1-1064,106400-106500,104,0.347544704475048
NZ_LLJK01000015.1-1065,106500-106600,93,0.358900836320191
NZ_LLJK01000015.1-1066,106600-106700,79,0.382480957562568
NZ_LLJK01000015.1-1067,106700-106800,74,0.373784261715296
NZ_LLJK01000015.1-1068,106800-106900,65,0.364562636914769
NZ_LLJK01000015.1-1069,106900-107000,74,0.31695895693692
NZ_LLJK01000015.1-1070,107000-107100,75,0.333717937339132
NZ_LLJK01000015.1-1071,107100-107200,65,0.371307804558949
NZ_LLJK01000015.1-1072,107200-107300,76,0.383480332734189
NZ_LLJK01000015.1-1073,107300-107400,40,0.388866413140222
NZ_LLJK01000015.1-1074,107400-107500,76,0.428023598820059
NZ_LLJK01000015.1-1075,107500-107600,68,0.450372093023256
NZ_LLJK01000015.1-1076,107600-107700,77,0.46721377423767
NZ_LLJK01000015.1-1077,107700-107800,86,0.441971728887278
NZ_LLJK01000015.1-1078,107800-107900,69,0.398691913648006
NZ_LLJK01000015.1-1079,107900-108000,37,0.366060281790619
NZ_LLJK01000015.1-1080,108000-108100,65,0.346277586498843
NZ_LLJK01000015.1-1081,108100-108200,97,0.318965860654105
NZ_LLJK01000015.1-1082,108200-108300,98,0.304597701149425
NZ_LLJK01000015.1-1083,108300-108400,78,0.294276215293378
NZ_LLJK01000015.1-1084,108400-108500,59,0.303647207248538
NZ_LLJK01000015.1-1085,108500-108600,74,0.318003266098777
NZ_LLJK01000015.1-1086,108600-108700,66,0.3099830963508
NZ_LLJK01000015.1-1087,108700-108800,71,0.325109624839438
NZ_LLJK01000015.1-1088,108800-108900,65,0.336695435166892
NZ_LLJK01000015.1-1089,108900-109000,67,0.357582570526203
NZ_LLJK01000015.1-1090,109000-109100,82,0.361102386934673
NZ_LLJK01000015.1-1091,109100-109200,74,0.315572018806098
NZ_LLJK01000015.1-1092,109200-109300,73,0.304730876887074
NZ_LLJK01000015.1-1093,109300-109400,99,0.29214588634436
NZ_LLJK01000015.1-1094,109400-109500,73,0.296777251184834
NZ_LLJK01000015.1-1095,109500-109600,56,0.323801088194357
NZ_LLJK01000015.1-1096,109600-109700,88,0.349058785440081
NZ_LLJK01000015.1-1097,109700-109800,79,0.373717425836088
NZ_LLJK01000015.1-1098,109800-109900,64,0.375848098794357
NZ_LLJK01000015.1-1099,109900-110000,71,0.393841535522605
NZ_LLJK01000015.1-1100,110000-110100,63,0.391594936708861
NZ_LLJK01000015.1-1101,110100-110200,79,0.383920134752064
NZ_LLJK01000015.1-1102,110200-110300,68,0.39139231193673
NZ_LLJK01000015.1-1103,110300-110400,68,0.420295307062917
NZ_LLJK01000015.1-1104,110400-110500,45,0.436702508960573
NZ_LLJK01000015.1-1105,110500-110600,92,0.427891564141432
NZ_LLJK01000015.1-1106,110600-110700,56,0.389988837318606
NZ_LLJK01000015.1-1107,110700-110800,60,0.378643869803005
NZ_LLJK01000015.1-1108,110800-110900,60,0.386547393772579
NZ_LLJK01000015.1-1109,110900-111000,66,0.361830367905878
NZ_LLJK01000015.1-1110,111000-111100,82,0.347824437616175
NZ_LLJK01000015.1-1111,111100-111200,89,0.334334194539487
NZ_LLJK01000015.1-1112,111200-111300,52,0.322822114817871
NZ_LLJK01000015.1-1113,111300-111400,75,0.331297191821498
NZ_LLJK01000015.1-1114,111400-111500,60,0.34864878724168
NZ_LLJK01000015.1-1115,111500-111600,44,0.35436961739376
NZ_LLJK01000015.1-1116,111600-111700,62,0.361429741909054
NZ_LLJK01000015.1-1117,111700-111800,63,0.350218297281207
NZ_LLJK01000015.1-1118,111800-111900,62,0.352374361158433
NZ_LLJK01000015.1-1119,111900-112000,40,0.349959042504778
NZ_LLJK01000015.1-1120,112000-112100,38,0.315515897080482
NZ_LLJK01000015.1-1121,112100-112200,28,0.305728241563055
NZ_LLJK01000015.1-1122,112200-112300,70,0.313428372046655
NZ_LLJK01000015.1-1123,112300-112400,81,0.344357424014933
NZ_LLJK01000015.1-1124,112400-112500,60,0.356084794556399
NZ_LLJK01000015.1-1125,112500-112600,67,0.371256576284905
NZ_LLJK01000015.1-1126,112600-112700,70,0.35527879450492
NZ_LLJK01000015.1-1127,112700-112800,62,0.341257007330746
NZ_LLJK01000015.1-1128,112800-112900,54,0.321298344192719
NZ_LLJK01000015.1-1129,112900-113000,58,0.322813054465294
NZ_LLJK01000015.1-1130,113000-113100,85,0.341331915863012
NZ_LLJK01000015.1-1131,113100-113200,75,0.350902344408838
NZ_LLJK01000015.1-1132,113200-113300,74,0.366711189624715
NZ_LLJK01000015.1-1133,113300-113400,66,0.369781744951831
NZ_LLJK01000015.1-1134,113400-113500,96,0.365493343060368
NZ_LLJK01000015.1-1135,113500-113600,89,0.334079826620914
NZ_LLJK01000015.1-1136,113600-113700,69,0.341480414478881
NZ_LLJK01000015.1-1137,113700-113800,52,0.335797865500836
NZ_LLJK01000015.1-1138,113800-113900,101,0.335382378214026
NZ_LLJK01000015.1-1139,113900-114000,44,0.35726429675425
NZ_LLJK01000015.1-1140,114000-114100,54,0.387176485888932
NZ_LLJK01000015.1-1141,114100-114200,55,0.401622346913882
NZ_LLJK01000015.1-1142,114200-114300,46,0.386209971023107
NZ_LLJK01000015.1-1143,114300-114400,37,0.342337570621469
NZ_LLJK01000015.1-1144,114400-114500,83,0.314251694449533
NZ_LLJK01000015.1-1145,114500-114600,104,0.295592616956236
NZ_LLJK01000015.1-1146,114600-114700,72,0.321358019019617
NZ_LLJK01000015.1-1147,114700-114800,59,0.331817452249746
NZ_LLJK01000015.1-1148,114800-114900,59,0.325232459847844
NZ_LLJK01000015.1-1149,114900-115000,58,0.355943816375471
NZ_LLJK01000015.1-1150,115000-115100,50,0.361637812585875
NZ_LLJK01000015.1-1151,115100-115200,62,0.367214748380668
NZ_LLJK01000015.1-1152,115200-115300,76,0.329662132514261
NZ_LLJK01000015.1-1153,115300-115400,73,0.321637168141593
NZ_LLJK01000015.1-1154,115400-115500,80,0.334158304459344
NZ_LLJK01000015.1-1155,115500-115600,56,0.351678094550704
NZ_LLJK01000015.1-1156,115600-115700,72,0.330745486858105
NZ_LLJK01000015.1-1157,115700-115800,61,0.323591567444977
NZ_LLJK01000015.1-1158,115800-115900,53,0.331477542849994
NZ_LLJK01000015.1-1159,115900-116000,55,0.35506871370249
NZ_LLJK01000015.1-1160,116000-116100,88,0.356702396225634
NZ_LLJK01000015.1-1161,116100-116200,107,0.326375221809969
NZ_LLJK01000015.1-1162,116200-116300,76,0.316965303424064
NZ_LLJK01000015.1-1163,116300-116400,65,0.309366618526924
NZ_LLJK01000015.1-1164,116400-116500,77,0.321793484793845
NZ_LLJK01000015.1-1165,116500-116600,61,0.326826323203864
NZ_LLJK01000015.1-1166,116600-116700,71,0.345463888629356
NZ_LLJK01000015.1-1167,116700-116800,45,0.347366866090553
NZ_LLJK01000015.1-1168,116800-116900,72,0.329824231600714
NZ_LLJK01000015.1-1169,116900-117000,58,0.321188931403538
NZ_LLJK01000015.1-1170,117000-117100,90,0.31660094637224
NZ_LLJK01000015.1-1171,117100-117200,72,0.334355685673126
NZ_LLJK01000015.1-1172,117200-117300,57,0.349416009294931
NZ_LLJK01000015.1-1173,117300-117400,99,0.364081790123457
NZ_LLJK01000015.1-1174,117400-117500,67,0.373815339521251
NZ_LLJK01000015.1-1175,117500-117600,85,0.37010382255781
NZ_LLJK01000015.1-1176,117600-117700,62,0.346393451063173
NZ_LLJK01000015.1-1177,117700-117800,86,0.33242881712211
NZ_LLJK01000015.1-1178,117800-117900,69,0.334796926454446
NZ_LLJK01000015.1-1179,117900-118000,110,0.359612154077392
NZ_LLJK01000015.1-1180,118000-118100,74,0.363882266642215
NZ_LLJK01000015.1-1181,118100-118200,88,0.397806755474324
NZ_LLJK01000015.1-1182,118200-118300,51,0.404201577131592
NZ_LLJK01000015.1-1183,118300-118400,56,0.403082782836398
NZ_LLJK01000015.1-1184,118400-118500,83,0.388302041730432
NZ_LLJK01000015.1-1185,118500-118600,85,0.385594020159311
NZ_LLJK01000015.1-1186,118600-118700,62,0.350120519000974
NZ_LLJK01000015.1-1187,118700-118800,96,0.348778785764131
NZ_LLJK01000015.1-1188,118800-118900,80,0.343230897009967
NZ_LLJK01000015.1-1189,118900-119000,50,0.380127494456763
NZ_LLJK01000015.1-1190,119000-119100,58,0.402248345126683
NZ_LLJK01000015.1-1191,119100-119200,72,0.423786801116413
NZ_LLJK01000015.1-1192,119200-119300,84,0.424563818159738
NZ_LLJK01000015.1-1193,119300-119400,64,0.392557517113593
NZ_LLJK01000015.1-1194,119400-119500,58,0.381830783174282
NZ_LLJK01000015.1-1195,119500-119600,62,0.396940121340016
NZ_LLJK01000015.1-1196,119600-119700,79,0.39245478482324
NZ_LLJK01000015.1-1197,119700-119800,65,0.369022602634411
NZ_LLJK01000015.1-1198,119800-119900,72,0.328388186424431
NZ_LLJK01000015.1-1199,119900-120000,76,0.319235511713933
NZ_LLJK01000015.1-1200,120000-120100,54,0.343288102738066
NZ_LLJK01000015.1-1201,120100-120200,65,0.355651326253142
NZ_LLJK01000015.1-1202,120200-120300,61,0.374869055101613
NZ_LLJK01000015.1-1203,120300-120400,64,0.369570700701206
NZ_LLJK01000015.1-1204,120400-120500,68,0.35907594155176
NZ_LLJK01000015.1-1205,120500-120600,75,0.369959304476508
NZ_LLJK01000015.1-1206,120600-120700,81,0.368367388555814
NZ_LLJK01000015.1-1207,120700-120800,77,0.37344609270299
NZ_LLJK01000015.1-1208,120800-120900,56,0.3761153054221
NZ_LLJK01000015.1-1209,120900-121000,66,0.346014381414787
NZ_LLJK01000015.1-1210,121000-121100,51,0.343366132870281
NZ_LLJK01000015.1-1211,121100-121200,75,0.327794218074209
NZ_LLJK01000015.1-1212,121200-121300,70,0.352971649241782
NZ_LLJK01000015.1-1213,121300-121400,59,0.373249499857102
NZ_LLJK01000015.1-1214,121400-121500,43,0.364958930808854
NZ_LLJK01000015.1-1215,121500-121600,56,0.363656147986942
NZ_LLJK01000015.1-1216,121600-121700,71,0.35863016126174
NZ_LLJK01000015.1-1217,121700-121800,48,0.337917886566351
NZ_LLJK01000015.1-1218,121800-121900,43,0.339765418085509
NZ_LLJK01000015.1-1219,121900-122000,62,0.35355414960923
NZ_LLJK01000015.1-1220,122000-122100,78,0.36351891981997
NZ_LLJK01000015.1-1221,122100-122200,67,0.330591026093979
NZ_LLJK01000015.1-1222,122200-122300,57,0.320656479909451
NZ_LLJK01000015.1-1223,122300-122400,49,0.312828601472135
NZ_LLJK01000015.1-1224,122400-122500,54,0.346244505319488
NZ_LLJK01000015.1-1225,122500-122600,49,0.354373017414385
NZ_LLJK01000015.1-1226,122600-122700,66,0.309475292919002
NZ_LLJK01000015.1-1227,122700-122800,68,0.275600701247809
NZ_LLJK01000015.1-1228,122800-122900,68,0.249554790454707
NZ_LLJK01000015.1-1229,122900-123000,61,0.250299908263355
NZ_LLJK01000015.1-1230,123000-123100,93,0.286898971373894
NZ_LLJK01000015.1-1231,123100-123200,78,0.327063929830907
NZ_LLJK01000015.1-1232,123200-123300,60,0.356875042606858
NZ_LLJK01000015.1-1233,123300-123400,70,0.353528762172473
NZ_LLJK01000015.1-1234,123400-123500,81,0.347418605598794
NZ_LLJK01000015.1-1235,123500-123600,54,0.35127653029837
NZ_LLJK01000015.1-1236,123600-123700,64,0.298841059602649
NZ_LLJK01000015.1-1237,123700-123800,55,0.278421118167102
NZ_LLJK01000015.1-1238,123800-123900,60,0.255881706244503
NZ_LLJK01000015.1-1239,123900-124000,47,0.240597740597741
NZ_LLJK01000015.1-1240,124000-124100,49,0.232597280193887
NZ_LLJK01000015.1-1241,124100-124200,55,0.219316433683366
NZ_LLJK01000015.1-1242,124200-124300,57,0.234281766220715
NZ_LLJK01000015.1-1243,124300-124400,75,0.263054412437128
NZ_LLJK01000015.1-1244,124400-124500,88,0.289229511547108
NZ_LLJK01000015.1-1245,124500-124600,65,0.310581070794215
NZ_LLJK01000015.1-1246,124600-124700,77,0.344195267005328
NZ_LLJK01000015.1-1247,124700-124800,86,0.373031819676323
NZ_LLJK01000015.1-1248,124800-124900,61,0.412792783557993
NZ_LLJK01000015.1-1249,124900-125000,59,0.451082106202588
NZ_LLJK01000015.1-1250,125000-125100,57,0.460334685019133
NZ_LLJK01000015.1-1251,125100-125200,73,0.479208178116607
NZ_LLJK01000015.1-1252,125200-125300,63,0.470143732826041
NZ_LLJK01000015.1-1253,125300-125400,67,0.468601866783952
NZ_LLJK01000015.1-1254,125400-125500,56,0.436909069686005
NZ_LLJK01000015.1-1255,125500-125600,60,0.425623980935658
NZ_LLJK01000015.1-1256,125600-125700,57,0.424805699481865
NZ_LLJK01000015.1-1257,125700-125800,94,0.438583466349902
NZ_LLJK01000015.1-1258,125800-125900,63,0.442870447527082
NZ_LLJK01000015.1-1259,125900-126000,74,0.447038225853516
NZ_LLJK01000015.1-1260,126000-126100,71,0.427730483608042
NZ_LLJK01000015.1-1261,126100-126200,73,0.411954628488891
NZ_LLJK01000015.1-1262,126200-126300,53,0.350345241669168
NZ_LLJK01000015.1-1263,126300-126400,73,0.313660822773824
NZ_LLJK01000015.1-1264,126400-126500,73,0.297561859874921
NZ_LLJK01000015.1-1265,126500-126600,79,0.323556735235567
NZ_LLJK01000015.1-1266,126600-126700,59,0.366293292133385
NZ_LLJK01000015.1-1267,126700-126800,49,0.400922967696131
NZ_LLJK01000015.1-1268,126800-126900,74,0.394724402004349
NZ_LLJK01000015.1-1269,126900-127000,76,0.372921193844516
NZ_LLJK01000015.1-1270,127000-127100,54,0.356282490173704
NZ_LLJK01000015.1-1271,127100-127200,55,0.315302875667887
NZ_LLJK01000015.1-1272,127200-127300,78,0.265752713748216
NZ_LLJK01000015.1-1273,127300-127400,82,0.281425059444646
NZ_LLJK01000015.1-1274,127400-127500,62,0.320246469273134
NZ_LLJK01000015.1-1275,127500-127600,73,0.364319708223991
NZ_LLJK01000015.1-1276,127600-127700,74,0.37555358724535
NZ_LLJK01000015.1-1277,127700-127800,57,0.364539748953975
NZ_LLJK01000015.1-1278,127800-127900,62,0.362879329723102
NZ_LLJK01000015.1-1279,127900-128000,88,0.391304347826087
NZ_LLJK01000015.1-1280,128000-128100,61,0.411930414154394
NZ_LLJK01000015.1-1281,128100-128200,76,0.416524265208476
NZ_LLJK01000015.1-1282,128200-128300,60,0.429879362343817
NZ_LLJK01000015.1-1283,128300-128400,80,0.403685551852578
NZ_LLJK01000015.1-1284,128400-128500,54,0.421574555568993
NZ_LLJK01000015.1-1285,128500-128600,49,0.430144968732234
NZ_LLJK01000015.1-1286,128600-128700,68,0.427616306063701
NZ_LLJK01000015.1-1287,128700-128800,73,0.424452290421872
NZ_LLJK01000015.1-1288,128800-128900,65,0.421296997224325
NZ_LLJK01000015.1-1289,128900-129000,61,0.42409369771333
NZ_LLJK01000015.1-1290,129000-129100,61,0.440904419321686
NZ_LLJK01000015.1-1291,129100-129200,99,0.43021978021978
NZ_LLJK01000015.1-1292,129200-129300,71,0.425572605983334
NZ_LLJK01000015.1-1293,129300-129400,84,0.416455168756392
NZ_LLJK01000015.1-1294,129400-129500,83,0.401485659807738
NZ_LLJK01000015.1-1295,129500-129600,67,0.381459776238679
NZ_LLJK01000015.1-1296,129600-129700,72,0.376996805111821
NZ_LLJK01000015.1-1297,129700-129800,91,0.392892616708972
NZ_LLJK01000015.1-1298,129800-129900,98,0.404482607078868
NZ_LLJK01000015.1-1299,129900-130000,87,0.39206081743015
NZ_LLJK01000015.1-1300,130000-130100,69,0.374035344079638
NZ_LLJK01000015.1-1301,130100-130200,46,0.36696023485455
NZ_LLJK01000015.1-1302,130200-130300,78,0.378556454028152
NZ_LLJK01000015.1-1303,130300-130400,63,0.411829479314142
NZ_LLJK01000015.1-1304,130400-130500,61,0.434289228017217
NZ_LLJK01000015.1-1305,130500-130600,65,0.435286872626501
NZ_LLJK01000015.1-1306,130600-130700,59,0.41309517226124
NZ_LLJK01000015.1-1307,130700-130800,70,0.414046362175809
NZ_LLJK01000015.1-1308,130800-130900,47,0.404918933773015
NZ_LLJK01000015.1-1309,130900-131000,66,0.405331242649941
NZ_LLJK01000015.1-1310,131000-131100,64,0.379595892679695
NZ_LLJK01000015.1-1311,131100-131200,74,0.351152525747916
NZ_LLJK01000015.1-1312,131200-131300,63,0.361696563987239
NZ_LLJK01000015.1-1313,131300-131400,69,0.385567502986858
NZ_LLJK01000015.1-1314,131400-131500,57,0.418729135489812
NZ_LLJK01000015.1-1315,131500-131600,52,0.414829659318637
NZ_LLJK01000015.1-1316,131600-131700,67,0.37243865106404
NZ_LLJK01000015.1-1317,131700-131800,60,0.324235871661504
NZ_LLJK01000015.1-1318,131800-131900,64,0.294768069039914
NZ_LLJK01000015.1-1319,131900-132000,50,0.327315279170846
NZ_LLJK01000015.1-1320,132000-132100,34,0.36804008908686
NZ_LLJK01000015.1-1321,132100-132200,38,0.41035188977844
NZ_LLJK01000015.1-1322,132200-132300,42,0.419325508348487
NZ_LLJK01000015.1-1323,132300-132400,139,0.395869932712387
NZ_LLJK01000015.1-1324,132400-132500,75,0.394787004806895
NZ_LLJK01000015.1-1325,132500-132600,82,0.417400121679173
NZ_LLJK01000015.1-1326,132600-132700,58,0.440092036590157
NZ_LLJK01000015.1-1327,132700-132800,64,0.424216423560289
NZ_LLJK01000015.1-1328,132800-132900,90,0.388877886481562
NZ_LLJK01000015.1-1329,132900-133000,55,0.366891274554591
NZ_LLJK01000015.1-1330,133000-133100,75,0.386176978477867
NZ_LLJK01000015.1-1331,133100-133200,63,0.427828155195481
NZ_LLJK01000015.1-1332,133200-133300,45,0.458675986842105
NZ_LLJK01000015.1-1333,133300-133400,81,0.435543588017503
NZ_LLJK01000015.1-1334,133400-133500,72,0.390928432393282
NZ_LLJK01000015.1-1335,133500-133600,56,0.358325504931893
NZ_LLJK01000015.1-1336,133600-133700,76,0.340854700854701
NZ_LLJK01000015.1-1337,133700-133800,57,0.365085926888325
NZ_LLJK01000015.1-1338,133800-133900,58,0.371616866082283
NZ_LLJK01000015.1-1339,133900-134000,69,0.368383694990874
NZ_LLJK01000015.1-1340,134000-134100,62,0.371697906390442
NZ_LLJK01000015.1-1341,134100-134200,53,0.363320533918449
NZ_LLJK01000015.1-1342,134200-134300,66,0.380527255540384
NZ_LLJK01000015.1-1343,134300-134400,56,0.385165945165945
NZ_LLJK01000015.1-1344,134400-134500,66,0.354097536450478
NZ_LLJK01000015.1-1345,134500-134600,65,0.336498892054448
NZ_LLJK01000015.1-1346,134600-134700,65,0.327746365105008
NZ_LLJK01000015.1-1347,134700-134800,71,0.354921901610627
NZ_LLJK01000015.1-1348,134800-134900,57,0.406089690551051
NZ_LLJK01000015.1-1349,134900-135000,63,0.386917152373022
NZ_LLJK01000015.1-1350,135000-135100,91,0.374483003111829
NZ_LLJK01000015.1-1351,135100-135200,72,0.345883002715515
NZ_LLJK01000015.1-1352,135200-135300,80,0.318494615294895
NZ_LLJK01000015.1-1353,135300-135400,75,0.316280444050483
NZ_LLJK01000015.1-1354,135400-135500,69,0.31181805625892
NZ_LLJK01000015.1-1355,135500-135600,55,0.335190151984045
NZ_LLJK01000015.1-1356,135600-135700,82,0.365707945719894
NZ_LLJK01000015.1-1357,135700-135800,61,0.35682485075382
NZ_LLJK01000015.1-1358,135800-135900,75,0.346434287746754
NZ_LLJK01000015.1-1359,135900-136000,83,0.352774982583791
NZ_LLJK01000015.1-1360,136000-136100,76,0.354579458147998
NZ_LLJK01000015.1-1361,136100-136200,60,0.370826523464861
NZ_LLJK01000015.1-1362,136200-136300,66,0.363550846618477
NZ_LLJK01000015.1-1363,136300-136400,49,0.366791243993593
NZ_LLJK01000015.1-1364,136400-136500,92,0.362730390055722
NZ_LLJK01000015.1-1365,136500-136600,82,0.350763052208835
NZ_LLJK01000015.1-1366,136600-136700,63,0.345422516968033
NZ_LLJK01000015.1-1367,136700-136800,80,0.338695478191276
NZ_LLJK01000015.1-1368,136800-136900,65,0.33693675986438
NZ_LLJK01000015.1-1369,136900-137000,63,0.343776732249786
NZ_LLJK01000015.1-1370,137000-137100,42,0.361046959199384
NZ_LLJK01000015.1-1371,137100-137200,48,0.3478012564249
NZ_LLJK01000015.1-1372,137200-137300,102,0.32910166384171
NZ_LLJK01000015.1-1373,137300-137400,72,0.30970501915137
NZ_LLJK01000015.1-1374,137400-137500,64,0.276039543416225
NZ_LLJK01000015.1-1375,137500-137600,79,0.281202136026825
NZ_LLJK01000015.1-1376,137600-137700,49,0.29173740803622
NZ_LLJK01000015.1-1377,137700-137800,58,0.306636906715683
NZ_LLJK01000015.1-1378,137800-137900,66,0.354587542087542
NZ_LLJK01000015.1-1379,137900-138000,63,0.392183212945854
NZ_LLJK01000015.1-1380,138000-138100,48,0.411075048022786
NZ_LLJK01000015.1-1381,138100-138200,31,0.443045422452342
NZ_LLJK01000015.1-1382,138200-138300,38,0.444310600444774
NZ_LLJK01000015.1-1383,138300-138400,141,0.433981607115936
NZ_LLJK01000015.1-1384,138400-138500,64,0.389383701883702
NZ_LLJK01000015.1-1385,138500-138600,58,0.379933504933505
NZ_LLJK01000015.1-1386,138600-138700,75,0.401817716333845
NZ_LLJK01000015.1-1387,138700-138800,52,0.435875834359406
NZ_LLJK01000015.1-1388,138800-138900,42,0.442268627610303
NZ_LLJK01000015.1-1389,138900-139000,70,0.436333471588553
NZ_LLJK01000015.1-1390,139000-139100,87,0.398718904926951
NZ_LLJK01000015.1-1391,139100-139200,70,0.373086705202312
NZ_LLJK01000015.1-1392,139200-139300,78,0.358348023167968
NZ_LLJK01000015.1-1393,139300-139400,60,0.356748351118022
NZ_LLJK01000015.1-1394,139400-139500,73,0.324538496172895
NZ_LLJK01000015.1-1395,139500-139600,90,0.316207995895782
NZ_LLJK01000015.1-1396,139600-139700,60,0.295480502528961
NZ_LLJK01000015.1-1397,139700-139800,54,0.302475991376494
NZ_LLJK01000015.1-1398,139800-139900,59,0.300621045230841
NZ_LLJK01000015.1-1399,139900-140000,62,0.300952604962954
NZ_LLJK01000015.1-1400,140000-140100,67,0.298997085124253
NZ_LLJK01000015.1-1401,140100-140200,66,0.322678843226788
NZ_LLJK01000015.1-1402,140200-140300,66,0.354196093711948
NZ_LLJK01000015.1-1403,140300-140400,61,0.356075165492206
NZ_LLJK01000015.1-1404,140400-140500,53,0.342178511783262
NZ_LLJK01000015.1-1405,140500-140600,72,0.3164700031647
NZ_LLJK01000015.1-1406,140600-140700,80,0.324990598754857
NZ_LLJK01000015.1-1407,140700-140800,80,0.340320688306609
NZ_LLJK01000015.1-1408,140800-140900,51,0.358740359897172
NZ_LLJK01000015.1-1409,140900-141000,69,0.362776810151779
NZ_LLJK01000015.1-1410,141000-141100,72,0.39068551510457
NZ_LLJK01000015.1-1411,141100-141200,65,0.375675946324855
NZ_LLJK01000015.1-1412,141200-141300,78,0.367269802975472
NZ_LLJK01000015.1-1413,141300-141400,61,0.352078813112062
NZ_LLJK01000015.1-1414,141400-141500,71,0.345095807247202
NZ_LLJK01000015.1-1415,141500-141600,78,0.376133883094834
NZ_LLJK01000015.1-1416,141600-141700,78,0.387625113739763
NZ_LLJK01000015.1-1417,141700-141800,84,0.380108064838903
NZ_LLJK01000015.1-1418,141800-141900,98,0.370557871749057
NZ_LLJK01000015.1-1419,141900-142000,66,0.33460783820496
NZ_LLJK01000015.1-1420,142000-142100,65,0.3004454236314
NZ_LLJK01000015.1-1421,142100-142200,47,0.27769511700257
NZ_LLJK01000015.1-1422,142200-142300,75,0.288073944113997
NZ_LLJK01000015.1-1423,142300-142400,80,0.327445817297954
NZ_LLJK01000015.1-1424,142400-142500,58,0.356340801447501
NZ_LLJK01000015.1-1425,142500-142600,79,0.353225537589598
NZ_LLJK01000015.1-1426,142600-142700,63,0.318742868996992
NZ_LLJK01000015.1-1427,142700-142800,65,0.314614308656685
NZ_LLJK01000015.1-1428,142800-142900,59,0.342623580402699
NZ_LLJK01000015.1-1429,142900-143000,54,0.353345917311088
NZ_LLJK01000015.1-1430,143000-143100,51,0.37660589746727
NZ_LLJK01000015.1-1431,143100-143200,58,0.390661799340556
NZ_LLJK01000015.1-1432,143200-143300,89,0.399268902234324
NZ_LLJK01000015.1-1433,143300-143400,71,0.391832337675056
NZ_LLJK01000015.1-1434,143400-143500,89,0.372380918501654
NZ_LLJK01000015.1-1435,143500-143600,67,0.384656084656085
NZ_LLJK01000015.1-1436,143600-143700,71,0.372567420725081
NZ_LLJK01000015.1-1437,143700-143800,57,0.374151837152733
NZ_LLJK01000015.1-1438,143800-143900,62,0.358203081075003
NZ_LLJK01000015.1-1439,143900-144000,62,0.349120276896452
NZ_LLJK01000015.1-1440,144000-144100,73,0.346777807654387
NZ_LLJK01000015.1-1441,144100-144200,63,0.351097493595861
NZ_LLJK01000015.1-1442,144200-144300,66,0.36981774484278
NZ_LLJK01000015.1-1443,144300-144400,82,0.402386533134456
NZ_LLJK01000015.1-1444,144400-144500,77,0.428540900931704
NZ_LLJK01000015.1-1445,144500-144600,79,0.424456879526004
NZ_LLJK01000015.1-1446,144600-144700,76,0.405437756497948
NZ_LLJK01000015.1-1447,144700-144800,66,0.355725722241559
NZ_LLJK01000015.1-1448,144800-144900,66,0.288495575221239
NZ_LLJK01000015.1-1449,144900-145000,70,0.252476718842877
NZ_LLJK01000015.1-1450,145000-145100,77,0.219675821701936
NZ_LLJK01000015.1-1451,145100-145200,62,0.213946117274168
NZ_LLJK01000015.1-1452,145200-145300,49,0.237995401055052
NZ_LLJK01000015.1-1453,145300-145400,54,0.271058110921825
NZ_LLJK01000015.1-1454,145400-145500,68,0.311398991815274
NZ_LLJK01000015.1-1455,145500-145600,62,0.340943062916157
NZ_LLJK01000015.1-1456,145600-145700,60,0.336120818771842
NZ_LLJK01000015.1-1457,145700-145800,55,0.344388510512289
NZ_LLJK01000015.1-1458,145800-145900,64,0.348385057168449
NZ_LLJK01000015.1-1459,145900-146000,69,0.34633145202668
NZ_LLJK01000015.1-1460,146000-146100,47,0.330185873605948
NZ_LLJK01000015.1-1461,146100-146200,74,0.322404922828609
NZ_LLJK01000015.1-1462,146200-146300,78,0.36032982134677
NZ_LLJK01000015.1-1463,146300-146400,66,0.385776936110834
NZ_LLJK01000015.1-1464,146400-146500,64,0.384286477819348
NZ_LLJK01000015.1-1465,146500-146600,64,0.386907010631982
NZ_LLJK01000015.1-1466,146600-146700,69,0.374812312312312
NZ_LLJK01000015.1-1467,146700-146800,66,0.381122631390776
NZ_LLJK01000015.1-1468,146800-146900,69,0.393970689485591
NZ_LLJK01000015.1-1469,146900-147000,81,0.387128048325751
NZ_LLJK01000015.1-1470,147000-147100,62,0.364687309024241
NZ_LLJK01000015.1-1471,147100-147200,38,0.345727502836694
NZ_LLJK01000015.1-1472,147200-147300,71,0.321595653704915
NZ_LLJK01000015.1-1473,147300-147400,76,0.357686519028166
NZ_LLJK01000015.1-1474,147400-147500,53,0.380952380952381
NZ_LLJK01000015.1-1475,147500-147600,85,0.392452830188679
NZ_LLJK01000015.1-1476,147600-147700,61,0.368558099164587
NZ_LLJK01000015.1-1477,147700-147800,52,0.357377507513804
NZ_LLJK01000015.1-1478,147800-147900,73,0.355440967283073
